"Latest: Time (min)";"Latest: Temperatur metall (°C)";"Latest: Temperatur svart (°C)"
5,71666666667;27,5226679932;33,8715806748
5,73333333333;27,5168636306;33,855173324
5,75;27,5139614691;33,8506989201
5,76666666667;27,5067061225;33,8492074834
5,78333333333;27,5067061225;33,8447332668
5,8;27,5038040067;33,8253466157
5,81666666667;27,4994508574;33,8089445802
5,83333333333;27,4921956736;33,7985078994
5,85;27,4863915848;33,7821089353
5,86666666667;27,4849405706;33,7776368155
5,88333333333;27,4776855482;33,7672024104
5,9;27,4733325733;33,7522974294
5,91666666667;27,4617247807;33,7388842639
5,93333333333;27,448666257;33,7254723443
5,95;27,4443134727;33,7016320008
5,96666666667;27,4356079887;33,6807749147
5,98333333333;27,4327061858;33,6763059286
6;27,4327061858;33,65992082
6,01666666667;27,425451733;33,6420482564
6,03333333333;27,4138447701;33,6122655065
6,05;27,4080413627;33,5929099646
6,06666666667;27,3978855182;33,5780228212
6,08333333333;27,3891806278;33,5556949277
6,1;27,3732219457;33,5437880993
6,11666666667;27,367418879;33,5274177758
6,13333333333;27,3587143689;33,4991460213
6,15;27,3456578047;33,4768300141
6,16666666667;27,3384042615;33,4574921774
6,18333333333;27,3297001067;33,4336951981
6,2;27,3195453925;33,406928113
6,21666666667;27,3137427626;33,3846258495
6,23333333333;27,3122921124;33,3682729536
6,25;27,3035882717;33,3504354496
6,26666666667;27,2905327046;33,3236831322
6,28333333333;27,2832797117;33,2880207005
6,3;27,2702245029;33,2731638159
6,31666666667;27,2557189823;33,2493958023
6,33333333333;27,2412137402;33,2122656512
6,35;27,2339612227;33,1885070529
6,36666666667;27,2223573371;33,172175136
6,38333333333;27,2165554597;33,1454538944
6,4;27,2136545372;33,115769014
6,41666666667;27,2020509554;33,0890574517
6,43333333333;27,1817450993;33,0653176677
6,45;27,170141986;33,0371313349
6,46666666667;27,1614397612;33,0074669563
6,48333333333;27,1469362611;32,9778081393
6,5;27,1440355921;32,961498152
6,51666666667;27,1324330187;32,9303655409
6,53333333333;27,1222809009;32,8947928373
6,55;27,1135791842;32,8725639011
6,56666666667;27,0990765239;32,8370039797
6,58333333333;27,0889248096;32,8058954585
6,6;27,07442257;32,7733119647
6,61666666667;27,0555700226;32,7555418929
6,63333333333;27,0497693207;32,7244489074
6,65;27,0468689841;32,6918816122
6,66666666667;27,0294671642;32,6711603168
6,68333333333;27,0222165061;32,6282458747
6,7;27,0048151646;32,6001355157
6,71666666667;26,9859640856;32,5749881483
6,73333333333;26,9758136638;32,5498445499
6,75;26,9642133166;32,5054826438
6,76666666667;26,9540631298;32,481827714
6,78333333333;26,9468130627;32,4433954673
6,8;26,9308631076;32,4108826238
6,81666666667;26,925063189;32,3931509416
6,83333333333;26,9120134978;32,3576930501
6,85;26,900413917;32,3178116025
6,86666666667;26,8830147981;32,2867990175
6,88333333333;26,8612663183;32,26022118
6,9;26,854016927;32,2277426183
6,91666666667;26,8380684432;32,2056015745
6,93333333333;26,8337188986;32,1701816612
6,95;26,826469697;32,1362441938
